,"ARUSHA",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
76,"Farkwa ss",,,50,,"Kondoa","21635",28-Jul-07,50
77,"Bukulu ss",,,50,,"Kondoa","21794",04-Aug-07,50
78,"Mlijo ss",,,50,,"Kondoa","21795",09-Aug-07,50
79,"Ulla ss",,,50,,"Kondoa","21796",07-Aug-07,50
80,"Busi ss",,,50,,"Kondoa","21797",08-Aug-07,50
81,"Munguri ss",,,50,,"Kondoa","21798",07-Aug-07,50
82,"Nalla ss",,,50,,"Dodoma","21633",02-Aug-07,50
83,"Mtumba ss",,,50,,"Dodoma","21630",29-Jul-07,50
84,"Mvumi Makuyu ss",,,50,,"Dodoma","21765",01-Aug-07,50
85,"Bahi ss",,,50,,"Dodoma","21751",27-Jul-07,50
86,"Chisali FDC",,,50,,"Mpwapwa","21617",02-Aug-07,50
87,"Nandanya ss",,,50,,"Mpwapwa","21618",06-Aug-07,50
88,"Kikuyu ss",,,50,,"Manyoni",,,
,,,," 5,000 ",,,,," 4,800 "
,"DSM",,,,,,,,
"S/N","Name of School","Nr of students","Nr of staff","Copies","PO Box","Area","D/N.#","Date","Copies"
1,"Airwing ss"," 385 "," 18 "," 50 ",1811,"Airport","24600",14-Aug-07,50
2,"Pugu ss"," 1,200 "," 80 "," 150 ",9090,"Airport","24582",14-Aug-07,150
3,"Vituka SS"," 284 "," 18 "," 50 ",4819,"Airport",,14-Aug-07,50
4,"Yombo Techinical  ss",,," 50 ",70342,"Airport","24583",14-Aug-07,50
5,"Chang'ombe ss"," 480 "," 20 "," 50 ",2329,"Chang'mbe","24571",09-Aug-07,50
6,"Jitegemee ss"," 645 "," 32 "," 100 ",1992,"Chang'mbe","24565",09-Aug-07,100
7,"Kamene Sem.ss",,," 50 ",8943,"DSM","24598",10-Aug-07,50
8,"Al Haramaini sem",,," 50 ",19921,"Gerezani","24560",07-Aug-07,50
9,"Dar es salaam ss"," 380 "," 22 "," 50 ",2020,"Gerezani","24551",07-Aug-07,50
10,"Kigamboni ss"," 432 "," 20 "," 50 ",3141,"Kigamboni","24554",14-Aug-07,50
11,"Kijitonyama ss",,," 50 ",31381,"Kijitonyama","24564",07-Aug-07,50
12,"Salma Kikwete ss",,," 50 ",70091,"Kijitonyama","24563",07-Aug-07,50
13,"Kambangwa ss"," 435 "," 20 "," 50 ",77323,"Kinondoni","24573",09-Aug-07,50
14,"Kinondoni ss"," 800 "," 24 "," 100 ",21308,"Kinondoni","24574",09-Aug-07,100
15,"Loyola high school",,," 50 ",9533,"Mabibo","24561",07-Aug-07,50
16,"French School",,," 50 ",2183,"Masaki","24579",10-Aug-07,50
17,"G.Samaritan ss",,," 50 ",20664,"Masaki","24585",10-Aug-07,50
18,"St.Antony ss",,," 50 ",7490,"Mbagala","24566",09-Aug-07,50
19,"Vosa Mission SS"," 280 "," 20 "," 100 ",70091,"Mbagala","24567",09-Aug-07,100
20,"Laureate SS",,," 50 ",31386,"Mikocheni","24584",10-Aug-07,50
21,"Baptist ss",,," 50 ",61618,"Morogoro Rd","24572",09-Aug-07,50
22,"Barbro  Model Gilrs ss",,," 50 ",14556,"Morogoro Rd","24595",10-Aug-07,50
23,"Kiluvya SS"," 180 "," 12 "," 50 ",30348,"Morogoro Rd","24596",10-Aug-07,50
24,"Liberty ss",,," 50 ",10439,"Morogoro Rd","24587",10-Aug-07,50
25,"Mwenge open Academy",,," 50 ",19888,"Morogoro Rd","24590",10-Aug-07,50
26,"Jordan ss",,," 50 ",32613,"Mtongani","24576",09-Aug-07,50
27,"Cambridge tz.Academy",,," 50 ",8037,"Mwenge ITV","24589",10-Aug-07,50
28,"Kenton Mwenge  H.school",,," 50 ",8844,"Mwenge Jeshini","24594",10-Aug-07,50
29,"Iteba ss"," 280 "," 14 "," 50 ",62148,"Sinza","24562",07-Aug-07,50
30,"Al Farouq Muslim sem",,," 50 ",9211,"Tabata","24597",10-Aug-07,50
31,"Esacs ss",,," 50 ",35024,"Tegeta","24586",10-Aug-07,50
32,"Feza boy ss",,," 50 ",77965,"Tegeta","24578",09-Aug-07,50
33,"Green Acres  ss",,," 50 ",105177,"Tegeta","24575",09-Aug-07,50
34,"Makongo SS"," 700 "," 36 "," 75 ",60157,"Tegeta","24592",10-Aug-07,75
35,"Mbezi beach ss",,," 50 ",60213,"Tegeta","24593",10-Aug-07,50
36,"St.Mary's  Inter ss",,," 75 ",8844,"Tegeta","24591",10-Aug-07,75
37,"Tegeta SS"," 360 "," 25 "," 50 ",66738,"Tegeta","24577",09-Aug-07,50
38,"Maarifa ss",,," 50 ",45257,"Temeke","24568",09-Aug-07,50
39,"Nurulyakini ss",,," 50 ",45400,"Temeke","24589",09-Aug-07,50
40,"Al Muntazir sem",,,,233,"Town",,,
41,"Azania ss"," 2,000 "," 115 "," 200 ",9074,"Town","24556",07-Aug-07,200
42,"Benjamin W.Mkapa ss"," 489 "," 20 "," 50 ",15209,"Town","24559",07-Aug-07,50
43,"Forodhani ss"," 620 "," 24 "," 75 ",3107,"Town","24552",07-Aug-07,75
44,"Jangwani Girls ss"," 685 "," 33 "," 100 ",2276,"Town","24558",07-Aug-07,100
45,"Kibasila ss"," 650 "," 23 "," 75 ",20378,"Town","24570",10-Aug-07,75
46,"Kisutu ss"," 828 "," 80 "," 100 ",20330,"Town","24588",10-Aug-07,100
47,"Mzizima Agha khan ss"," 635 "," 35 "," 75 ",21563,"Town","24599",13-Aug-07,75
48,"Shaaban Robert ss"," 656 "," 28 "," 100 ",736,"Town","24553",07-Aug-07,100
49,"Tambaza  ss"," 930 "," 62 "," 50 ",20576,"Town","24555",07-Aug-07,50
